Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),orcamento_base,custo_final,gasto_real,dt_inicio,dt_plan_fim,dt_real_fim,fator_custo,atraso_dias,duracao_plan,ano_inicio,alto_risco,distrito,borough,log_orcamento,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,FY16 RESO A TERRACE SURFACING AND PAVEMENTS / ROOFS / WINDOWS,"CM,F&E",Complete,8/6/2018,8/4/2020,12/10/2020,1215959,483890,459095,"DSF0000822834, DSF0000832537, DSF0000877090",1215959.0,483890.0,459095.0,2018-08-06,2020-08-04,2020-12-10,0.3979492729606837,128,729,2018,1,3,Manhattan,6.084918931537087,0,0,1,0,0
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,FY16 RESO A TERRACE SURFACING AND PAVEMENTS / ROOFS / WINDOWS,Construction,Complete,8/6/2018,8/4/2020,12/10/2020,16501566,15522980,13736787,"DSF0000822834, DSF0000832537, DSF0000877090",16501566.0,15522980.0,13736787.0,2018-08-06,2020-08-04,2020-12-10,0.9406973859329472,128,729,2018,1,3,Manhattan,7.21752516075249,0,0,1,0,0
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,FY16 RESO A TERRACE SURFACING AND PAVEMENTS / ROOFS / WINDOWS,Design,Complete,1/3/2018,7/2/2018,5/17/2018,925935,520001,433939,"DSF0000822834, DSF0000832537, DSF0000877090",925935.0,520001.0,433939.0,2018-01-03,2018-07-02,2018-05-17,0.5615955763633517,-46,180,2018,0,3,Manhattan,5.966580500578118,0,0,1,0,0
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,FY16 RESO A TERRACE SURFACING AND PAVEMENTS / ROOFS / WINDOWS,Scope,Complete,12/21/2015,5/31/2017,6/21/2017,233879,166408,165615,"DSF0000822834, DSF0000832537, DSF0000877090",233879.0,166408.0,165615.0,2015-12-21,2017-05-31,2017-06-21,0.7115132183736035,21,527,2015,0,3,Manhattan,5.36899122824969,0,0,1,0,0
3,M506,EDWARD A. REYNOLDS WEST SIDE HS-M,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2/28/2019,7/30/2019,5/17/2019,374973,286021,223328,"DSF0000877141, DSF0000877142, DSF0000877143",374973.0,286021.0,223328.0,2019-02-28,2019-07-30,2019-05-17,0.7627775866529056,-74,152,2019,0,3,Manhattan,5.573999997399277,0,0,1,0,0
3,M506,EDWARD A. REYNOLDS WEST SIDE HS-M,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,10/24/2018,3/14/2019,2/28/2019,94585,99593,99511,"DSF0000877141, DSF0000877142, DSF0000877143",94585.0,99593.0,99511.0,2018-10-24,2019-03-14,2019-02-28,1.05294708463287,-14,141,2018,0,3,Manhattan,4.975822268180293,0,0,1,0,0
1,M510,SATELLITE AT FORSYTHE,SCA CIP,PARAPET / FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Design,Complete,2/21/2018,7/23/2018,5/18/2018,597481,580580,549147,"DSF0000877157, DSF0000877154, DSF0000877158, DSF0000877156",597481.0,580580.0,549147.0,2018-02-21,2018-07-23,2018-05-18,0.9717129080255271,-66,152,2018,0,1,Manhattan,5.776324099199496,0,0,1,0,0
1,M510,SATELLITE AT FORSYTHE,SCA CIP,PARAPET / FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Scope,Complete,9/6/2017,3/6/2018,1/4/2018,149370,104625,85623,"DSF0000877157, DSF0000877154, DSF0000877158, DSF0000877156",149370.0,104625.0,85623.0,2017-09-06,2018-03-06,2018-01-04,0.7004418557943363,-61,181,2017,0,1,Manhattan,5.1742633809951215,0,0,1,0,0
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE / FIRE ALARM SYSTEMS,"CM,F&E",Complete,6/19/2017,12/10/2018,12/31/2020,770126,989877,984352,"DSF0000810567, DSF0000832617",770126.0,989877.0,984352.0,2017-06-19,2018-12-10,2020-12-31,1.2853442164009525,752,539,2017,1,2,Manhattan,5.886561785728361,0,0,0,1,0
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE / FIRE ALARM SYSTEMS,Construction,Complete,6/19/2017,12/10/2018,12/31/2020,9135619,8633408,8423099,"DSF0000810567, DSF0000832617",9135619.0,8633408.0,8423099.0,2017-06-19,2018-12-10,2020-12-31,0.9450271514168881,752,539,2017,1,2,Manhattan,6.9607379790751605,0,0,0,1,0
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,PUBLIC ADDRESS & CLOCK SYSTEMS,Design,Complete,7/11/2018,12/12/2018,12/24/2018,128820,110489,108415,DSF0000888912,128820.0,110489.0,108415.0,2018-07-11,2018-12-12,2018-12-24,0.8577006675981991,12,154,2018,0,2,Manhattan,5.109983294819893,0,0,0,0,0
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,5/16/2018,11/9/2018,8/1/2018,36515,17890,17818,DSF0000868092,36515.0,17890.0,17818.0,2018-05-16,2018-11-09,2018-08-01,0.489935642886485,-100,177,2018,0,2,Manhattan,4.5624713049774686,0,0,0,0,0
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE / FIRE ALARM SYSTEMS,Design,Complete,8/19/2015,1/25/2016,3/15/2017,518627,658736,453385,"DSF0000810567, DSF0000832617",518627.0,658736.0,453385.0,2015-08-19,2016-01-25,2017-03-15,1.2701536942735339,415,159,2015,1,2,Manhattan,5.714855122625728,0,0,0,1,0
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADE / FIRE ALARM SYSTEMS,Scope,Complete,4/29/2015,8/13/2015,8/12/2015,131296,73162,73162,"DSF0000810567, DSF0000832617",131296.0,73162.0,73162.0,2015-04-29,2015-08-13,2015-08-12,0.5572294662442115,-1,106,2015,0,2,Manhattan,5.1182514952868186,0,0,0,1,0
2,M520,BERGTRAUM HS - MANHATTAN,SCA CIP,PUBLIC ADDRESS & CLOCK SYSTEMS,Scope,Complete,3/16/2018,6/14/2018,5/24/2018,32205,27453,27453,DSF0000888912,32205.0,27453.0,27453.0,2018-03-16,2018-06-14,2018-05-24,0.8524452724732184,-21,90,2018,0,2,Manhattan,4.50792330349193,0,0,0,0,0
6,M540,A. PHILIP RANDOLPH HS -MANHATTAN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,2/20/2019,7/22/2019,5/8/2019,38170,23663,22358,DSF0000868288,38170.0,23663.0,22358.0,2019-02-20,2019-07-22,2019-05-08,0.6199371233953367,-75,152,2019,0,6,Manhattan,4.5817221599490985,1,0,0,0,0
6,M540,A. PHILIP RANDOLPH HS -MANHATTAN,SCA CIP,ENY GREENHOUSE,Design,Complete,5/10/2017,10/11/2017,6/7/2018,77290,249759,230295,DSF0000865808,77290.0,249759.0,230295.0,2017-05-10,2017-10-11,2018-06-07,3.231452969336266,239,154,2017,1,6,Manhattan,4.888123307297908,0,0,0,0,0
6,M540,A. PHILIP RANDOLPH HS -MANHATTAN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,Design,Complete,5/23/2016,3/30/2017,2/28/2017,3893880,1292152,1249399,"DSF0000775750, DSF0000832675, DSF0000844100, DSF0000832677",3893880.0,1292152.0,1249399.0,2016-05-23,2017-03-30,2017-02-28,0.33184176194438453,-30,311,2016,0,6,Manhattan,6.59038256348066,0,0,1,0,0
6,M540,A. PHILIP RANDOLPH HS -MANHATTAN,SCA CIP,ENY GREENHOUSE,Scope,Complete,1/24/2017,5/9/2017,4/21/2017,19323,26126,26126,DSF0000865808,19323.0,26126.0,26126.0,2017-01-24,2017-05-09,2017-04-21,1.352067484345081,-18,105,2017,1,6,Manhattan,4.286074553875573,0,0,0,0,0
6,M540,A. PHILIP RANDOLPH HS -MANHATTAN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,Scope,Complete,1/18/2013,6/5/2013,1/15/2014,973470,872608,871860,"DSF0000775750, DSF0000832675, DSF0000844100, DSF0000832677",973470.0,872608.0,871860.0,2013-01-18,2013-06-05,2014-01-15,0.8963892056252376,224,138,2013,1,6,Manhattan,5.988322572152698,0,0,1,0,0
6,M540,A. PHILIP RANDOLPH HS -MANHATTAN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,1/15/2019,5/16/2019,2/20/2019,10410,5585,5585,DSF0000868288,10410.0,5585.0,5585.0,2019-01-15,2019-05-16,2019-02-20,0.5365033621517772,-85,121,2019,0,6,Manhattan,4.017450729510536,1,0,0,0,0
2,M600,FASHION INDUSTRIES VOC HS - M,SCA CIP,EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,Design,Complete,8/22/2016,1/26/2017,5/8/2017,1019987,525473,499592,"DSF0000787330, DSF0000787328, DSF0000832702",1019987.0,525473.0,499592.0,2016-08-22,2017-01-26,2017-05-08,0.51517617381398,102,157,2016,1,2,Manhattan,6.008594636600894,0,0,1,0,0
2,M600,FASHION INDUSTRIES VOC HS - M,SCA CIP,EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,Scope,Complete,9/3/2015,1/25/2016,2/2/2016,256466,98271,98271,"DSF0000787330, DSF0000787328, DSF0000832702",256466.0,98271.0,98271.0,2015-09-03,2016-01-25,2016-02-02,0.3831735980597818,8,144,2015,0,2,Manhattan,5.409029798332376,0,0,1,0,0
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,Design,Complete,10/10/2018,3/15/2019,5/2/2019,1030274,501255,479944,"DSF0000822668, DSF0000891037, DSF0000877297, DSF0000877298, DSF0000877299",1030274.0,501255.0,479944.0,2018-10-10,2019-03-15,2019-05-02,0.4865259144654723,48,156,2018,0,2,Manhattan,6.012952740106273,0,0,1,0,0
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EMERGENCY GENERATOR / LOW-VOLTAGE ELECTRICAL SYSTEM / FIRE SYSTEM SPRINKLERS,Design,Complete,10/10/2018,3/15/2019,5/10/2019,1035960,435419,435419,"DSF0000832752, DSF0000877293, DSF0000877313",1035960.0,435419.0,435419.0,2018-10-10,2019-03-15,2019-05-10,0.42030483802463414,56,156,2018,0,2,Manhattan,6.015342986958783,1,0,0,1,0
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EMERGENCY GENERATOR / LOW-VOLTAGE ELECTRICAL SYSTEM / FIRE SYSTEM SPRINKLERS,Scope,Complete,11/23/2016,3/29/2017,4/20/2017,258990,138492,138492,"DSF0000832752, DSF0000877293, DSF0000877313",258990.0,138492.0,138492.0,2016-11-23,2017-03-29,2017-04-20,0.5347387930035908,22,126,2016,0,2,Manhattan,5.41328299563082,1,0,0,1,0
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,Scope,Complete,10/2/2015,2/23/2016,4/25/2016,258548,199865,195328,"DSF0000822668, DSF0000891037, DSF0000877297, DSF0000877298, DSF0000877299",258548.0,199865.0,195328.0,2015-10-02,2016-02-23,2016-04-25,0.7730286059068335,62,144,2015,0,2,Manhattan,5.4125411826328484,0,0,1,0,0
2,M625,HS OF GRAPHIC COMM. ARTS (VOC)-M,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,"CM,F&E",Complete,8/28/2017,2/18/2019,9/30/2020,535430,967943,962142,"DSF0000810708, DSF0000844140, DSF0000844141",535430.0,967943.0,962142.0,2017-08-28,2019-02-18,2020-09-30,1.8077862652447565,590,539,2017,1,2,Manhattan,5.728702700936549,0,0,1,0,0
2,M625,HS OF GRAPHIC COMM. ARTS (VOC)-M,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Construction,Complete,8/28/2017,2/18/2019,9/30/2020,8605125,9753572,9976695,"DSF0000810708, DSF0000844140, DSF0000844141",8605125.0,9753572.0,9976695.0,2017-08-28,2019-02-18,2020-09-30,1.1334608155023895,590,539,2017,1,2,Manhattan,6.9347571833696735,0,0,1,0,0
2,M625,HS OF GRAPHIC COMM. ARTS (VOC)-M,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Design,Complete,6/22/2016,11/23/2016,3/7/2017,458939,570592,550737,"DSF0000810708, DSF0000844140, DSF0000844141",458939.0,570592.0,550737.0,2016-06-22,2016-11-23,2017-03-07,1.2432850553123618,104,154,2016,1,2,Manhattan,5.661754965005864,0,0,1,0,0
2,M625,HS OF GRAPHIC COMM. ARTS (VOC)-M,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Scope,Complete,9/4/2015,1/26/2016,5/18/2016,114735,163294,159428,"DSF0000810708, DSF0000844140, DSF0000844141",114735.0,163294.0,159428.0,2015-09-04,2016-01-26,2016-05-18,1.4232274371377522,113,144,2015,1,2,Manhattan,5.059695919977973,0,0,1,0,0
2,M625,THE BUSINESS OF SPORTS SCHOOL,SCA CIP,CHARTER MATCH AUDITORIUM UPGRADE,Scope,Complete,9/25/2019,1/30/2020,3/31/2020,26292,14781,14781,DSF0000900213,26292.0,14781.0,14781.0,2019-09-25,2020-01-30,2020-03-31,0.562186216339571,61,127,2019,0,2,Manhattan,4.41982362360833,0,0,0,0,0
2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,OUTROS,LEASE,Design,Complete,10/28/2014,4/15/2015,4/19/2019,1934197,2263213,2253741,DSF0000800281,1934197.0,2263213.0,2253741.0,2014-10-28,2015-04-15,2019-04-19,1.1701046997798052,1465,169,2014,1,2,Manhattan,6.286500705349776,0,0,0,0,0
2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,OUTROS,LEASE,Scope,Complete,9/16/2014,10/31/2014,10/27/2014,429822,813921,813908,DSF0000800281,429822.0,813921.0,813908.0,2014-09-16,2014-10-31,2014-10-27,1.8936234068986697,-4,45,2014,1,2,Manhattan,5.633288640643744,0,0,0,0,0
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,Scope,Complete,6/19/2019,11/4/2019,1/30/2020,219639,254054,242443,"DSF0000900222, DSF0000900224, DSF0000900225, DSF0000900234, DSF0000945688, DSF0000945680, DSF0000960728, DSF0000945679",219639.0,254054.0,242443.0,2019-06-19,2019-11-04,2020-01-30,1.156688930472275,87,138,2019,1,2,Manhattan,5.341709457731427,0,0,1,0,1
2,M645,LIFE SCIENCE SECONDARY SCHOOL - M,SCA CIP,HAZARDOUS-FACADE REPAIR,Design,Complete,3/16/2017,9/15/2017,6/7/2017,175651,176126,175104,DSF0000866156,175651.0,176126.0,175104.0,2017-03-16,2017-09-15,2017-06-07,1.0027042259935897,-100,183,2017,0,2,Manhattan,5.244650626620191,0,0,1,0,0
2,M645,LIFE SCIENCE SECONDARY SCHOOL - M,SCA CIP,HAZARDOUS-FACADE REPAIR,Scope,Complete,8/12/2015,4/28/2016,12/3/2015,43913,43706,43706,DSF0000866156,43913.0,43706.0,43706.0,2015-08-12,2016-04-28,2015-12-03,0.9952861339466673,-147,260,2015,0,2,Manhattan,4.6425931077703,0,0,1,0,0
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Design,Complete,9/16/2008,10/30/2008,9/16/2008,55000,174162,159277,DSF0000622222,55000.0,174162.0,159277.0,2008-09-16,2008-10-30,2008-09-16,3.166581818181818,-44,44,2008,1,2,Manhattan,4.740362689494244,0,0,0,0,0
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION,Design,Complete,3/4/2020,8/3/2020,6/30/2020,152464,72141,70106,"DSF0000961180, DSF0000960822, DSF0000945755, DSF0000945753",152464.0,72141.0,70106.0,2020-03-04,2020-08-03,2020-06-30,0.4731674362472453,-34,152,2020,0,2,Manhattan,5.183167309603889,0,0,1,0,0
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Scope,Complete,7/22/2008,9/8/2008,9/16/2008,15000,34559,34402,DSF0000622222,15000.0,34559.0,34402.0,2008-07-22,2008-09-08,2008-09-16,2.303933333333333,8,48,2008,1,2,Manhattan,4.176091259055681,0,0,0,0,0
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,PATH OF TRAVEL FLOOD ELIMINATION,Scope,Complete,4/17/2020,7/8/2020,6/22/2020,10155,10155,566,DSF0000960823,10155.0,10155.0,566.0,2020-04-17,2020-07-08,2020-06-22,1.0,-16,82,2020,0,2,Manhattan,4.006679927740826,0,0,0,0,1
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION,Scope,Complete,3/7/2019,7/8/2019,2/26/2020,33881,23685,23685,"DSF0000961180, DSF0000960822, DSF0000945755, DSF0000945753",33881.0,23685.0,23685.0,2019-03-07,2019-07-08,2020-02-26,0.6990643723620908,233,123,2019,1,2,Manhattan,4.529956220078762,0,0,1,0,0
2,M816,P.S. 527 - MANHATTAN,SCA CIP RESOA,FY20 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,4/3/2020,9/28/2020,5/29/2020,18233,16583,16583,DSF0000913351,18233.0,16583.0,16583.0,2020-04-03,2020-09-28,2020-05-29,0.9095047441452312,-122,178,2020,0,2,Manhattan,4.2608581319711405,0,0,0,0,0
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,Design,Complete,7/24/2019,12/26/2019,12/5/2019,453129,853617,695608,"SCA0000049166, DSF0000960503",453129.0,853617.0,695608.0,2019-07-24,2019-12-26,2019-12-05,1.88382778414094,-21,155,2019,1,2,Manhattan,5.6562218576701255,0,0,0,0,0
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,Scope,Complete,5/20/2019,9/23/2019,7/18/2019,91133,228954,219157,"SCA0000049166, DSF0000960503",91133.0,228954.0,219157.0,2019-05-20,2019-09-23,2019-07-18,2.512306189854389,-67,126,2019,1,2,Manhattan,4.959675667014423,0,0,0,0,0
3,M841,M811 SPED - MANHATTAN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,1/10/2018,7/10/2018,5/15/2018,415762,376493,246836,"DSF0000877456, DSF0000877454",415762.0,376493.0,246836.0,2018-01-10,2018-07-10,2018-05-15,0.9055493287024788,-56,181,2018,0,3,Manhattan,5.618844792969303,0,0,1,0,0
3,M841,M811 SPED - MANHATTAN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,6/22/2017,12/22/2017,10/31/2017,105940,84773,84773,"DSF0000877456, DSF0000877454",105940.0,84773.0,84773.0,2017-06-22,2017-12-22,2017-10-31,0.8001982254106098,-52,183,2017,0,3,Manhattan,5.025059968599579,0,0,1,0,0
6,M845,P.S. 98 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,Complete,2/20/2018,7/5/2018,5/17/2018,19838,29392,29376,DSF0000866364,19838.0,29392.0,29376.0,2018-02-20,2018-07-05,2018-05-17,1.4816009678395,-49,135,2018,1,6,Manhattan,4.297497885925698,0,0,0,0,0
6,M847,P.S. 152 - MANHATTAN,SCA CIP,DEMOLITION OF MINI BUILDING,Design,Complete,10/16/2018,3/6/2019,4/29/2019,81077,175592,175592,DSF0000888968,81077.0,175592.0,175592.0,2018-10-16,2019-03-06,2019-04-29,2.1657436757650137,54,141,2018,1,6,Manhattan,4.908897670613596,0,0,0,0,0
6,M847,P.S. 152 - MANHATTAN,SCA CIP,DEMOLITION OF MINI BUILDING,Scope,Complete,6/25/2018,9/24/2018,10/9/2018,20269,68408,68393,DSF0000888968,20269.0,68408.0,68393.0,2018-06-25,2018-09-24,2018-10-09,3.3750061670531353,15,91,2018,1,6,Manhattan,4.306832322684375,0,0,0,0,0
6,M876,GREGORIO LUPERON PREP. SCHOOL - M,SCA CIP RESOA,FY19 RESO A SCIENCE LAB UPGRADE,Design,Complete,12/7/2018,6/12/2019,5/13/2019,322249,215144,201265,DSF0000890615,322249.0,215144.0,201265.0,2018-12-07,2019-06-12,2019-05-13,0.6676327932747658,-30,187,2018,0,6,Manhattan,5.508191578329069,0,0,0,0,0
30,Q002,P.S. 2 - QUEENS,SCA Capacity,ADDITION / DEMOLITION,Design,Complete,7/25/2018,1/31/2019,3/1/2019,2439437,2566452,1619789,"DSF0000888778, DSF0000888778",2439437.0,2566452.0,1619789.0,2018-07-25,2019-01-31,2019-03-01,1.052067341767793,29,190,2018,0,30,Queens,6.3872896066640426,0,0,0,0,0
30,Q002,P.S. 2 - QUEENS,SCA Capacity,ADDITION / DEMOLITION,Scope,Complete,2/5/2018,7/24/2018,7/24/2018,762324,520432,512349,"DSF0000888778, DSF0000888778",762324.0,520432.0,512349.0,2018-02-05,2018-07-24,2018-07-24,0.6826913490851659,0,169,2018,0,30,Queens,5.882139592738011,0,0,0,0,0
24,Q005,I.S. 5 - QUEENS,SCA CIP,PUBLIC ADDRESS SYSTEM / HVAC,Design,Complete,11/13/2014,4/17/2015,8/21/2015,282600,549219,522860,"DSF0000800040, DSF0000800039",282600.0,549219.0,522860.0,2014-11-13,2015-04-17,2015-08-21,1.9434501061571126,126,155,2014,1,24,Queens,5.45117215751254,0,1,0,0,0
24,Q005,I.S. 5 - QUEENS,SCA CIP,PUBLIC ADDRESS SYSTEM / HVAC,Scope,Complete,6/12/2014,9/11/2014,11/5/2014,70650,59831,59831,"DSF0000800040, DSF0000800039",70650.0,59831.0,59831.0,2014-06-12,2014-09-11,2014-11-05,0.8468648266100496,55,91,2014,0,24,Queens,4.849112166184577,0,1,0,0,0
24,Q005,I.S. 5 - QUEENS,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,Complete,3/13/2019,8/12/2019,5/19/2020,36000,33023,32344,DSF0000890683,36000.0,33023.0,32344.0,2019-03-13,2019-08-12,2020-05-19,0.9173055555555556,281,152,2019,1,24,Queens,4.556302500767287,0,0,0,0,0
24,Q007,P.S. 7 - QUEENS,SCA CIP,CLIMATE CONTROL / LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,4/19/2017,9/19/2017,10/16/2017,598500,674167,541191,"DSF0000843863, DSF0000855070",598500.0,674167.0,541191.0,2017-04-19,2017-09-19,2017-10-16,1.1264277360066834,27,153,2017,1,24,Queens,5.77706415474243,1,1,0,0,0
24,Q007,P.S. 7 - QUEENS,SCA CIP,CLIMATE CONTROL / LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/1/2016,8/31/2016,2/28/2017,149625,265783,264018,"DSF0000843863, DSF0000855070",149625.0,265783.0,264018.0,2016-04-01,2016-08-31,2017-02-28,1.776327485380117,181,152,2016,1,24,Queens,5.175004163414467,1,1,0,0,0
24,Q009,Q009 SPED - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION / PARTIAL ACCESSIBILITY / FIRE ALARM / ROOFS,Design,Complete,2/22/2012,7/23/2012,5/8/2012,774063,606243,592348,"DSF0000720934, DSF0000720933, DSF0000720930, DSF0000799910, DSF0000811101, DSF0000877706",774063.0,606243.0,592348.0,2012-02-22,2012-07-23,2012-05-08,0.7831959414156212,-76,152,2012,0,24,Queens,5.888776308795179,0,0,1,1,1
24,Q009,Q009 SPED - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION / PARTIAL ACCESSIBILITY / FIRE ALARM / ROOFS,Scope,Complete,9/26/2011,2/14/2012,2/15/2012,198202,173985,173985,"DSF0000720934, DSF0000720933, DSF0000720930, DSF0000799910, DSF0000811101, DSF0000877706",198202.0,173985.0,173985.0,2011-09-26,2012-02-14,2012-02-15,0.8778165709730477,1,141,2011,0,24,Queens,5.297108032513441,0,0,1,1,1
24,Q009,Q009 SPED - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING / FY18 RESO A AUDITORIUM UPGRADE,Design,Complete,7/16/2018,12/17/2018,2/15/2019,87839,140510,122801,"DSF0000822710, DSF0000867261",87839.0,140510.0,122801.0,2018-07-16,2018-12-17,2019-02-15,1.5996311433417958,60,154,2018,1,24,Queens,4.943687382923936,0,0,0,0,0
24,Q012,P.S. 12 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,12/18/2019,5/20/2020,6/30/2020,376610,257170,244083,"DSF0000900613, DSF0000900615, DSF0000900616, DSF0000900617, DSF0000960660",376610.0,257170.0,244083.0,2019-12-18,2020-05-20,2020-06-30,0.6828549427790022,41,154,2019,0,24,Queens,5.575891847510599,0,0,1,0,0
24,Q012,P.S. 12 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,8/2/2019,12/19/2019,12/11/2019,77524,98262,98262,"DSF0000900613, DSF0000900615, DSF0000900616, DSF0000900617, DSF0000960660",77524.0,98262.0,98262.0,2019-08-02,2019-12-19,2019-12-11,1.267504256746298,-8,139,2019,1,24,Queens,4.889436172880561,0,0,1,0,0
24,Q013,P.S. 13 - QUEENS,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Design,Complete,12/2/2019,6/15/2020,5/4/2020,859962,380801,380801,"DSF0000900624, DSF0000900626, DSF0000900627, DSF0000960710, DSF0000946117",859962.0,380801.0,380801.0,2019-12-02,2020-06-15,2020-05-04,0.44281142655140576,-42,196,2019,0,24,Queens,5.9344792610634185,0,0,1,0,0
24,Q013,P.S. 13 - QUEENS,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Scope,Complete,6/24/2019,12/20/2019,11/19/2019,173356,267285,243030,"DSF0000900624, DSF0000900626, DSF0000900627, DSF0000960710, DSF0000946117",173356.0,267285.0,243030.0,2019-06-24,2019-12-20,2019-11-19,1.5418272225939684,-31,179,2019,1,24,Queens,5.23893887755744,0,0,1,0,0
30,Q017,P.S. 17 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,10/16/2019,3/20/2020,4/17/2020,421357,215329,208580,"DSF0000912541, DSF0000900680",421357.0,215329.0,208580.0,2019-10-16,2020-03-20,2020-04-17,0.5110369591581485,28,156,2019,0,30,Queens,5.62465021324746,0,1,0,0,0
30,Q017,P.S. 17 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,6/18/2019,11/19/2019,10/2/2019,84271,65253,65253,"DSF0000912541, DSF0000900680",84271.0,65253.0,65253.0,2019-06-18,2019-11-19,2019-10-02,0.7743233140700834,-48,154,2019,0,30,Queens,4.925678147497901,0,1,0,0,0
