Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),orcamento_base,custo_final,gasto_real,dt_inicio,dt_plan_fim,dt_real_fim,fator_custo,atraso_dias,duracao_plan,ano_inicio,alto_risco,distrito,borough,log_orcamento,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade
13,K011,P.S. 11 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,8/13/2019,1/16/2020,1/15/2020,20553,5062,5062,"DSF0000912670, DSF0000912951",20553.0,5062.0,5062.0,2019-08-13,2020-01-16,2020-01-15,0.2462900793071571,-1,156,2019,0,13,Brooklyn,4.312875222239046,1,0,0,0,0
13,K011,P.S. 11 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,10/2/2018,2/21/2019,1/24/2019,116367,129019,116070,"DSF0000868551, DSF0000868553, DSF0000868554, DSF0000868555",116367.0,129019.0,116070.0,2018-10-02,2019-02-21,2019-01-24,1.1087249821684841,-28,142,2018,1,13,Brooklyn,5.065829838133072,0,0,1,0,0
22,K014,I.S. 14 - BROOKLYN,SCA CIP,WATER PENETRATION INTO BOILER ROOM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",Complete,2/21/2017,8/14/2018,2/3/2020,660150,1514914,1509367,"DSF0000801384, DSF0000798243, DSF0000778032",660150.0,1514914.0,1509367.0,2017-02-21,2018-08-14,2020-02-03,2.2948026963568884,538,539,2017,1,22,Brooklyn,5.819642627618626,0,1,0,0,0
22,K014,I.S. 14 - BROOKLYN,SCA CIP,WATER PENETRATION INTO BOILER ROOM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,Complete,2/21/2017,8/14/2018,2/3/2020,9263340,9216762,8280802,"DSF0000801384, DSF0000798243, DSF0000778032",9263340.0,9216762.0,8280802.0,2017-02-21,2018-08-14,2020-02-03,0.9949717920318157,538,539,2017,1,22,Brooklyn,6.9667676046121,0,1,0,0,0
22,K014,I.S. 14 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,7/24/2019,12/26/2019,12/18/2019,40611,13401,13401,"DSF0000912041, DSF0000912801",40611.0,13401.0,13401.0,2019-07-24,2019-12-26,2019-12-18,0.32998448696166066,-8,155,2019,0,22,Brooklyn,4.6086436836327325,1,0,0,0,0
22,K014,I.S. 14 - BROOKLYN,SCA CIP,WATER PENETRATION INTO BOILER ROOM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,3/11/2016,8/10/2016,6/30/2016,514345,551128,546674,"DSF0000801384, DSF0000798243, DSF0000778032",514345.0,551128.0,546674.0,2016-03-11,2016-08-10,2016-06-30,1.0715142559954893,-41,152,2016,0,22,Brooklyn,5.711254522370365,0,1,0,0,0
22,K014,I.S. 14 - BROOKLYN,SCA CIP,WATER PENETRATION INTO BOILER ROOM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,12/16/2015,5/18/2016,3/3/2016,129646,167497,152174,"DSF0000801384, DSF0000798243, DSF0000778032",129646.0,167497.0,152174.0,2015-12-16,2016-05-18,2016-03-03,1.2919565586288817,-76,154,2015,1,22,Brooklyn,5.112759121917356,0,1,0,0,0
14,K017,P.S. 17 - BROOKLYN,SCA CIP,BUILDING FAN REPLACEMENT / ELECTRICAL UPGRADE,Design,Complete,1/29/2014,6/30/2014,12/17/2014,375158,608777,528873,"DSF0000755637, DSF0000778097",375158.0,608777.0,528873.0,2014-01-29,2014-06-30,2014-12-17,1.622721626621317,170,152,2014,1,14,Brooklyn,5.574214211931888,1,0,0,0,0
14,K017,P.S. 17 - BROOKLYN,SCA CIP,BUILDING FAN REPLACEMENT / ELECTRICAL UPGRADE,Scope,Complete,6/24/2013,10/25/2013,11/12/2013,95463,57505,57505,"DSF0000755637, DSF0000778097",95463.0,57505.0,57505.0,2013-06-24,2013-10-25,2013-11-12,0.6023799796779904,18,123,2013,0,14,Brooklyn,4.979835078290998,1,0,0,0,0
14,K017,I.S. 577 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY,Scope,Complete,4/6/2017,11/2/2017,12/19/2017,172905,130915,130915,DSF0000865947,172905.0,130915.0,130915.0,2017-04-06,2017-11-02,2017-12-19,0.7571498799919031,47,210,2017,0,14,Brooklyn,5.237807552215578,0,0,0,0,0
