Project Type,Project Phase Name,borough,log_orcamento,duracao_plan,ano_inicio,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade,fator_custo,atraso_dias,alto_risco,DSF Number(s)
SCA CIP,Design,Brooklyn,5.54441534103564,154,2017,0,1,0,0,0,0.9004796163069544,-26,0,"DSF0000798389, DSF0000798396"
SCA CIP,Scope,Brooklyn,4.942355349707677,154,2017,0,1,0,0,0,1.1239351376042024,-119,1,"DSF0000798389, DSF0000798396"
SCA CIP,"CM,F&E",Brooklyn,4.88962100168769,269,2020,1,0,0,0,0,1.3198550743324264,-178,1,"DSF0000912047, DSF0000912532"
SCA CIP,Construction,Brooklyn,5.6171618602368705,269,2020,1,0,0,0,0,1.3035247758080328,-178,1,"DSF0000912047, DSF0000912532"
SCA CIP,Design,Brooklyn,4.5108264061875145,153,2019,1,0,0,0,0,0.3294778075938435,-6,0,"DSF0000912047, DSF0000912532"
SCA CIP,Scope,Brooklyn,5.443472650212932,143,2018,0,0,1,0,1,0.9493974080984318,-39,0,"DSF0000869270, DSF0000869271, DSF0000869272, DSF0000869273, DSF0000892040, DSF0000912331"
SCA CIP,Design,Brooklyn,5.648672200396408,152,2018,0,1,0,0,0,0.7320466181622204,-22,0,"DSF0000869288, DSF0000888784"
SCA CIP,Scope,Brooklyn,5.046612209068446,154,2017,0,1,0,0,0,0.597475972334501,-57,0,"DSF0000869288, DSF0000888784"
SCA CIP RESOA,Design,Brooklyn,4.817565369559781,128,2018,0,0,0,0,0,1.2460121765601218,-36,1,DSF0000867219
SCA CIP,"CM,F&E",Brooklyn,5.318027838290078,299,2018,0,0,0,0,0,0.9551646047994308,300,1,DSF0000867030
SCA CIP,Construction,Brooklyn,5.487477756438898,299,2018,0,0,0,0,0,1.286372217159224,300,1,DSF0000867030
SCA CIP,Design,Brooklyn,4.462547728802664,181,2017,0,0,0,0,0,0.7171664943123061,-36,0,DSF0000867030
SCA CIP,Design,Brooklyn,5.594468793858704,154,2020,0,1,0,0,0,0.6378752839832192,16,0,"DSF0000960643, DSF0000960644"
SCA CIP,Design,Brooklyn,5.533451746583408,152,2020,0,0,1,0,0,0.662726761685034,0,0,"DSF0000892088, DSF0000892090, DSF0000892091"
SCA CIP,Scope,Brooklyn,4.853351367632724,139,2019,0,0,1,0,0,2.154591200257909,51,1,"DSF0000892088, DSF0000892090, DSF0000892091"
SCA CIP,Scope,Brooklyn,4.8954998944023105,153,2020,0,1,0,0,0,0.9318696415396749,-56,0,"DSF0000960643, DSF0000960644"
SCA CIP,Design,Brooklyn,5.508772048270926,152,2019,0,0,1,0,0,0.8695828684765092,-102,0,"DSF0000887368, DSF0000887369"
SCA CIP,Scope,Brooklyn,4.906712056942964,141,2018,0,0,1,0,0,1.139779347960828,22,1,"DSF0000887368, DSF0000887369"
SCA CIP,Scope,Brooklyn,4.480538699921856,136,2018,0,0,0,0,0,0.9581307669411648,40,0,DSF0000869347
SCA CIP,Design,Brooklyn,5.608736711564463,222,2019,0,0,1,0,0,0.17372112546375282,-56,0,"DSF0000869369, DSF0000937404, DSF0000937403, DSF0000937405"
SCA CIP,Scope,Brooklyn,4.9097645688790665,182,2019,0,0,1,0,0,0.21714939868782235,-42,0,"DSF0000869369, DSF0000937404, DSF0000937403, DSF0000937405"
SCA CIP,Design,Brooklyn,5.50634670929943,153,2019,0,0,1,0,0,0.8231317957012368,-62,0,"DSF0000869407, DSF0000869404, DSF0000912549"
SCA CIP,Scope,Brooklyn,4.914210891401377,141,2018,0,0,1,0,0,0.9819555284800487,-28,0,"DSF0000869407, DSF0000869404, DSF0000912549"
SCA CIP,Scope,Brooklyn,4.812853219397302,156,2020,0,1,0,0,0,0.7801387884476312,-17,0,"DSF0000937484, DSF0000961028"
SCA CIP,Scope,Brooklyn,4.362237360964099,139,2019,0,0,1,0,0,0.0,22,0,"DSF0000912287, DSF0000960685, DSF0000937486"
SCA CIP,Design,Brooklyn,4.328603829080335,159,2019,1,0,0,0,0,0.7186898784665197,-6,0,DSF0000912751
SCA CIP,Design,Brooklyn,4.210505790680973,156,2019,1,0,0,0,0,0.3350988483094168,4,0,DSF0000912676
SCA CIP,Design,Brooklyn,5.838395047211655,77,2019,0,0,1,0,0,0.6495657056141272,-36,0,"DSF0000869540, DSF0000892309, DSF0000892310"
SCA CIP,Scope,Brooklyn,5.2363382062256205,141,2018,0,0,1,0,0,1.1376442801515776,73,1,"DSF0000869540, DSF0000892309, DSF0000892310"
SCA CIP RESOA,Design,Brooklyn,4.445604203273597,136,2019,0,0,0,0,0,1.202831541218638,96,1,DSF0000890748
SCA CIP,Design,Brooklyn,4.775435675751987,153,2020,0,0,0,0,0,0.30411230000335426,-34,0,DSF0000937602
SCA CIP,Scope,Brooklyn,4.961273931114606,139,2019,0,0,1,0,0,1.1181055876854453,1,1,"DSF0000892329, DSF0000892331, DSF0000892332, DSF0000892333, DSF0000892334"
SCA CIP,Scope,Brooklyn,4.122215878272827,90,2020,0,0,0,0,0,0.3421132075471698,-32,0,DSF0000937602
SCA CIP,Design,Brooklyn,4.752893154884593,159,2019,1,0,0,0,0,0.2835188129305776,-121,0,"DSF0000911954, DSF0000914282"
SCA CIP,Design,Brooklyn,5.750715079092303,153,2017,0,0,1,0,0,0.768912844329875,270,1,"DSF0000821882, DSF0000846900, DSF0000846897"
SCA CIP,Scope,Brooklyn,4.09968064110925,325,2019,1,0,0,0,0,0.31891891891891894,-125,0,"DSF0000911954, DSF0000914282"
SCA CIP,Scope,Brooklyn,5.152701033840312,135,2017,0,0,1,0,0,1.375284060927991,-121,1,"DSF0000821882, DSF0000846900, DSF0000846897"
SCA CIP,Design,Brooklyn,5.847468391275026,154,2020,1,1,0,0,0,0.31246563450601067,-79,0,"DSF0000798421, DSF0000892368, DSF0000937647, DSF0000937645"
SCA CIP,Scope,Brooklyn,5.152768249791665,150,2020,1,1,0,0,0,0.5304346602699832,-44,0,"DSF0000798421, DSF0000892368, DSF0000937647, DSF0000937645"
SCA CIP,Scope,Brooklyn,5.330184389060367,180,2020,0,0,1,0,0,0.8695339127670219,-47,0,"DSF0000937664, DSF0000937667, DSF0000937669, DSF0000937668, DSF0000986089"
SCA Capacity,Design,Brooklyn,6.592274490424806,241,2017,0,0,0,0,0,0.7457641246982776,13,0,DSF0000798193
SCA Capacity,Scope,Brooklyn,6.087124512104901,154,2017,0,0,0,0,0,0.6128494865605695,-14,0,DSF0000798193
SCA CIP,Design,Brooklyn,5.406640652632452,156,2017,0,1,0,0,0,1.0094409528775694,402,1,DSF0000799391
SCA CIP,Design,Brooklyn,4.875564753023147,156,2017,0,1,0,0,0,0.9285095955358451,402,1,DSF0000779204
SCA CIP,Design,Brooklyn,5.146044270807713,117,2018,0,0,0,0,0,0.6837890164531731,596,1,DSF0000798193
SCA CIP,Scope,Brooklyn,4.273510545540457,154,2017,0,1,0,0,0,1.2023758789686767,-4,1,DSF0000779204
